ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,55.48,45.51,54.09,45.9
1,2,55.48,45.51,54.09,45.9
2,1,50.83,49.17,48.28,51.72
2,2,50.83,49.17,48.28,51.72
3,1,51.11,48.89,51.08,48.92
3,2,51.11,48.89,51.08,48.92
4,1,52.45,47.56,53.35,46.66
4,2,52.45,47.56,53.35,46.66
5,1,51.15,48.85,49.84,50.16
5,2,51.15,48.85,49.84,50.16
6,1,55.91,44.09,55.45,44.55
6,2,55.91,44.09,55.45,44.55
7,1,42.56,57.43,41.07,58.92
7,2,42.56,57.43,41.07,58.92
8,1,51.52,48.49,49.78,50.22
8,2,51.52,48.49,49.78,50.22
9,1,55.72,44.29,56.07,43.93
9,2,55.72,44.29,56.07,43.93
10,1,50.17,49.82,51.99,48
10,2,50.17,49.82,51.99,48
11,1,55.61,44.39,54.68,45.32
11,2,55.61,44.39,54.68,45.32
12,1,52.73,47.27,50.7,49.29
12,2,52.73,47.27,50.7,49.29
13,1,54.29,45.72,54.06,45.94
13,2,54.29,45.72,54.06,45.94
14,1,54.79,45.2,53.3,46.69
14,2,54.79,45.2,53.3,46.69
15,1,40.51,59.49,39.59,60.4
15,2,40.51,59.49,39.59,60.4
16,1,56.98,43.02,54.32,45.68
16,2,56.98,43.02,54.32,45.68
