ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,91.08,8.86,16.93,82.76
1,2,91.05,8.91,16.52,83.19
2,1,84.36,15.64,15.75,84.25
2,2,84.36,15.64,15.75,84.25
3,1,72.33,27.67,12.11,87.89
3,2,72.33,27.67,12.11,87.89
4,1,97.36,2.64,3.97,96.03
4,2,97.36,2.64,3.97,96.03
5,1,76.54,23.46,23.89,76.12
5,2,76.54,23.46,23.89,76.12
6,1,88.09,11.91,22.84,77.16
6,2,88.09,11.91,22.84,77.16
7,1,86.04,13.97,23.72,76.28
7,2,86.04,13.97,23.72,76.28
8,1,88.38,11.62,23.94,76.08
8,2,88.38,11.62,23.94,76.06
9,1,70.75,29.26,11.31,88.69
9,2,70.75,29.25,11.31,88.69
10,1,85.94,14.06,20.09,79.9
10,2,85.94,14.06,20.09,79.9
11,1,70.22,29.78,8.46,91.54
11,2,70.22,29.78,8.46,91.54
12,1,85.31,14.69,20.49,79.51
12,2,85.31,14.69,20.49,79.51
13,1,81.06,18.94,17.49,82.5
13,2,81.06,18.94,17.49,82.5
14,1,88.46,11.54,11.91,88.09
14,2,88.46,11.54,11.91,88.09
15,1,84.39,15.62,14.62,85.39
15,2,84.39,15.62,14.62,85.39
16,1,86.39,13.61,17.28,82.72
16,2,86.39,13.61,17.28,82.72
