ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,8.49,91.48,89.38,10.47
1,2,8.49,91.48,89.37,10.46
2,1,21.83,78.17,93.7,6.29
2,2,21.83,78.17,93.7,6.29
3,1,17.79,82.2,81.32,18.67
3,2,17.79,82.2,81.32,18.67
4,1,26.61,73.39,87.09,12.9
4,2,26.61,73.39,87.09,12.9
5,1,20.16,79.84,87.99,12.01
5,2,20.16,79.84,87.99,12.01
6,1,17.98,82.02,88.25,11.75
6,2,17.98,82.02,88.25,11.75
7,1,11.81,88.19,83.2,16.79
7,2,11.81,88.19,83.2,16.79
8,1,9.72,90.28,69.86,30.14
8,2,9.72,90.28,69.86,30.14
9,1,15.87,84.13,82.19,17.79
9,2,15.87,84.13,82.19,17.79
10,1,7.84,92.16,81.41,18.59
10,2,7.84,92.16,81.41,18.59
11,1,16.33,83.67,81.34,18.66
11,2,16.33,83.67,81.35,18.65
12,1,9.15,90.85,75.62,24.38
12,2,9.15,90.85,75.62,24.38
13,1,17.06,82.94,81.64,18.36
13,2,17.06,82.94,81.64,18.36
14,1,24.3,75.69,91.18,8.81
14,2,24.3,75.69,91.18,8.81
15,1,28.58,71.41,92.46,7.54
15,2,28.58,71.41,92.47,7.53
16,1,14.37,85.63,80.95,19.05
16,2,14.37,85.63,80.95,19.05
