ID,helper1,hinderer1,helper2,hinderer2,helper3,hinderer3
1,2.67,5.78,2.79,5.86,3.4,6.69
2,4.83,5.85,4.23,5.56,7.46,8.31
3,3.28,5.37,3.28,6.06,5.09,7.55
4,2.52,6.43,2.56,6.43,3.49,7.65
5,2.65,6.37,2.71,6.31,3.74,7.73
6,3.33,6.68,3.87,7.35,6.13,9.22
7,4.06,6.58,3.92,7.22,6.64,9.74
8,3.29,5.72,3.38,6.19,4.68,7.18
9,3.84,6.36,4.14,6.52,6.69,9.19
10,3.62,5.47,3.49,6.07,5.86,7.83
11,3.77,6.18,3.62,6.53,5.66,8.62
12,3.79,4.95,3.57,4.62,5.57,6.56
13,3.94,5.85,3.99,5.74,6.33,8.69
14,3.91,5.48,3.99,5.91,6.45,8.03
15,4.02,5.97,3.71,6.86,6.48,9.07
16,2.99,6.78,2.79,6.69,4.32,8.56
