ID,age,helper1,hinderer1,helper2,hinderer2,helper3,hinderer3
1,older,5.53,5.61,5.8,5.89,9.03,8.72
2,older,4.91,5.27,4.86,5.81,7.34,7.92
3,older,4.35,5.79,4.69,5.18,6.37,7.78
4,older,5.42,6.16,5.52,6.2,8.95,9.69
5,older,4.62,4.91,4.61,4.85,6.77,7.22
6,older,4.22,5.87,4.25,6.08,6.41,8.31
7,older,5.45,6.55,5.18,6.22,8.45,9.76
8,older,5.45,4.32,5.66,4.27,7.88,6.59
9,older,5.17,5.71,5.67,5.55,8.17,8.63
10,older,5.77,6,5.85,6.29,9.44,9.97
11,older,5.46,4.99,5.82,5.4,8.7,8.31
12,older,5.25,5.62,5.7,5.81,8.72,8.75
13,older,5.83,4.83,5.71,5.15,8.68,7.56
14,older,5.48,5.83,5.66,5.37,8.34,8.11
15,older,5.83,5.57,6.48,5.12,9.23,9.05
16,older,5.76,5.05,5.33,4.67,8.26,7.26
17,younger,6.07,7.24,6.15,7.24,9.21,10.35
18,younger,6.02,7.25,6.08,7.19,9.18,10.42
19,younger,6.21,7.3,6.26,7.3,9.36,10.44
20,younger,6.07,7.26,6.06,7.18,9.19,10.37
21,younger,6.09,7,6.05,7,9.11,10.13
22,younger,6.13,7.14,6.05,7.16,9.13,10.26
23,younger,6.03,6.95,6.04,7.02,8.93,9.82
24,younger,6.11,7.22,6.12,7.2,9.17,10.29
25,younger,5.96,7.09,6.07,7.12,8.89,9.99
26,younger,6.16,7.23,6.14,7.27,9.19,10.33
27,younger,6.16,7.26,6.2,7.24,9.34,10.37
28,younger,6.04,7.12,6.07,7.13,9.08,10.16
29,younger,6.11,7.22,6.11,7.2,9.17,10.31
30,younger,6.12,7.29,6.19,7.29,9.17,10.31
31,younger,6.03,7.18,6,7.08,8.85,9.98
32,younger,6.07,7.09,6.07,7.09,9.09,10.11
